week,weekorder,date,ReportingLaboratory,test_sarscov2,pos_sarscov2,test_flu,pos_flu,pos_flua_h1,pos_flua_h3,pos_flua_uns,pos_flua,pos_flub,test_rsv,pos_rsv,test_hpiv,pos_hpiv_1,pos_hpiv_2,pos_hpiv_3,pos_hpiv_4,pos_hpiv_other,test_adv,pos_adv,test_hmpv,pos_hmpv,test_evrv,pos_evrv,test_hcov,pos_hcov
35,1,2025-08-30,Newfoundland and Labrador,229,23,210,1,0,0,0,0,1,210,1,210,0,2,5,4,0,210,2,210,2,210,23,210,0
35,1,2025-08-30,Prince Edward Island,33,5,7,0,0,0,0,0,0,7,0,3,0,0,0,0,0,3,0,3,0,3,1,3,0
35,1,2025-08-30,Nova Scotia,587,61,592,2,0,0,1,1,1,592,0,23,0,0,0,0,0,23,1,23,0,23,3,23,0
35,1,2025-08-30,New Brunswick,472,18,330,1,0,0,1,1,0,321,0,70,0,0,0,0,0,70,2,70,3,70,9,70,0
35,1,2025-08-30,Atlantic,1321,107,1139,4,0,0,2,2,2,1130,1,306,0,2,5,4,0,306,5,306,5,306,36,306,0
35,1,2025-08-30,Quebec,5781,466,4108,18,0,0,13,13,5,3662,12,834,7,1,7,1,0,845,15,834,1,929,110,834,1
35,1,2025-08-30,Ontario,6480,394,5716,23,8,3,10,21,2,5798,6,3456,0,0,0,0,89,3148,24,3409,18,3522,278,2950,5
35,1,2025-08-30,Manitoba,608,35,635,2,0,0,2,2,0,635,0,36,1,0,0,0,0,36,0,36,0,36,3,36,0
35,1,2025-08-30,Saskatchewan,604,37,560,2,0,0,2,2,0,535,0,230,0,0,4,1,0,230,2,230,0,230,35,230,0
35,1,2025-08-30,Alberta,3402,190,1359,13,9,4,0,13,0,1338,4,1338,8,4,8,5,0,1338,6,1338,2,1338,171,1338,3
35,1,2025-08-30,Prairies,4614,262,2554,17,9,4,4,17,0,2508,4,1604,9,4,12,6,0,1604,8,1604,2,1604,209,1604,3
35,1,2025-08-30,British Columbia,2165,225,2392,29,21,3,1,29,0,2392,14,665,4,1,8,4,1,686,10,665,6,688,99,656,1
35,1,2025-08-30,Yukon,30,0,18,2,2,0,0,2,0,18,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,1,2025-08-30,Northwest Territories,29,2,29,0,0,0,0,0,0,29,0,N/A,N/A,N/A,N/A,N/A,N/A,29,0,29,0,29,11,N/A,N/A
35,1,2025-08-30,Nunavut,91,2,91,1,1,0,0,1,0,91,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,1,2025-08-30,Territories,150,4,138,3,3,0,0,3,0,138,0,N/A,N/A,N/A,N/A,N/A,N/A,29,0,29,0,29,11,N/A,N/A
35,1,2025-08-30,Canada,20511,1458,16047,94,41,10,30,85,9,15628,37,6865,20,8,32,15,90,6618,62,6847,32,7078,743,6350,10
36,2,2025-09-06,Newfoundland and Labrador,247,37,208,0,0,0,0,0,0,208,1,208,0,0,8,4,0,208,3,208,2,208,22,208,0
36,2,2025-09-06,Prince Edward Island,19,2,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,3,0,3,3,3,0
36,2,2025-09-06,Nova Scotia,568,52,583,1,0,0,1,1,0,583,1,31,0,0,0,0,0,31,0,31,0,31,5,31,0
36,2,2025-09-06,New Brunswick,511,29,355,1,0,1,0,1,0,350,0,80,0,1,0,3,0,80,2,80,0,80,14,80,1
36,2,2025-09-06,Atlantic,1345,120,1151,2,0,1,1,2,0,1146,2,322,0,1,8,7,0,322,5,322,2,322,44,322,1
36,2,2025-09-06,Quebec,6280,609,4340,13,0,0,10,10,3,3818,10,873,7,1,2,3,0,890,20,873,3,957,144,873,1
36,2,2025-09-06,Ontario,6994,611,6201,30,7,10,13,30,0,6257,8,3743,0,0,0,0,79,3443,13,3731,18,3837,361,3232,9
36,2,2025-09-06,Manitoba,671,35,645,0,0,0,0,0,0,645,0,54,0,0,0,0,0,54,2,54,0,54,14,54,0
36,2,2025-09-06,Saskatchewan,682,34,635,5,0,3,1,4,1,609,2,281,0,1,1,0,0,281,3,281,0,281,36,281,0
36,2,2025-09-06,Alberta,3200,185,1303,13,6,6,1,13,0,1266,3,1266,5,2,11,6,0,1266,4,1266,4,1266,166,1266,6
36,2,2025-09-06,Prairies,4553,254,2583,18,6,9,2,17,1,2520,5,1601,5,3,12,6,0,1601,9,1601,4,1601,216,1601,6
